id,reference,baseline_summary,reranked_summary,baseline_factuality_composite,reranked_factuality_composite,factuality_delta
34001040,"More human remains have been found near a motorway slip road in Shropshire, police have said.",Police investigating the discovery of a human skull on a motorway in Shropshire have said further skeletal remains have been found.,Police investigating the discovery of a human skull on a motorway have said further remains have been found.,0.1948953333333333,0.7124770000000001,0.5175816666666668
38537698,"Four people accused of kidnapping and torturing a mentally disabled man in a ""racially motivated"" attack streamed on Facebook have been denied bail.",A judge has denied bail to four people accused of beating a mentally ill man and posting it on Facebook.,A judge has denied bail to four people accused of beating a disabled man and posting the video online.,0.1942666666666666,0.6913170000000001,0.4970503333333335
38521798,North Wales Police has been criticised at an inquest for sending an officer to speak to a hospital patient with paranoid schizophrenia.,"A police officer's visit to a mental health unit could have contributed to the death of a man who drowned off Anglesey, an inquest has heard.",An inquest into the death of a man at a mental health unit has heard that he was visited by a police officer.,0.152564,0.614127,0.46156299999999995
33935224,"Fracking for shale gas in Wales should still be opposed despite plans to fast-track such schemes in England, the Welsh government has said.","A ban on fracking in Wales remains in place, despite plans to devolve control over the industry to the Welsh Government.",Plans to devolve control over fracking in Wales have been put on hold until further notice.,0.2851443333333333,0.7298626666666667,0.4447183333333334
36792661,Plans to move a statue depicting a Royal Marine in the Falklands conflict away from Portsmouth seafront have been criticised.,Controversial plans to move a statue commemorating the Falklands War have been given the go-ahead.,"An online petition against plans to move a statue commemorating the Falklands War has attracted more than 1,800 signatures.",0.4825243333333333,0.916457,0.4339326666666667
37066439,Owain Doull has won Wales' first gold of the 2016 Olympics as  he helped the Great Britain men's team pursuit defend their cycling title in Rio.,Welsh cyclist Owain Doull has become the first Welshman to win an Olympic gold medal at a Games with victory in the men's team pursuit.,"Welsh cyclist Owain Doull described winning Olympic gold in Rio as ""a dream come true"" after beating Australia to the title.",0.232224,0.6348889999999999,0.40266499999999994
39883016,Scrapping tuition fees in England is the biggest and most expensive proposal in Labour's £25bn worth of pledges for education.,Labour is proposing to scrap university tuition fees in England.,Labour has announced plans to scrap university tuition fees in England - and replace them with free education.,0.2637563333333333,0.6489083333333333,0.385152
40543846,Clashes have broken out in Indian-administered Kashmir on the anniversary of the killing of a militant leader.,At least 11 people have been killed in violence in Indian-administered Kashmir on the first anniversary of the killing of a militant leader.,At least seven people have been killed in violence in Indian-administered Kashmir on the first anniversary of the killing of a militant leader.,0.07971,0.4278189999999999,0.3481089999999999
39847422,"Performers from 42 countries strode down a long red carpet near Ukraine's parliament this week, as a curtain-raiser to this year's Eurovision Song Contest.","The Eurovision Song Contest took place in Kiev on Sunday, with countries from around the world competing for the right to take part.","This year's Eurovision Song Contest took place in Kiev, the capital of Europe.",0.2600039999999999,0.600161,0.34015700000000004
36376666,Wales Under-20 Grand Slam winners Shaun Evans and Dafydd Hughes have signed their first professional contracts with Scarlets.,Scarlets have signed teenage duo Rhys Hughes and Rhys Evans from Welsh region Llandovery for the 2016-17 season.,Scarlets have signed teenage duo Rhys Hughes and Rhys Evans from Welsh region Llandovery.,0.1477523333333333,0.441708,0.2939556666666667
